1,2,1
1,10,2
1,65,3
2,3,4
2,10,3
2,11,4
3,11,2
3,12,4
3,13,5
3,4,3
4,13,2
4,5,6
5,13,7
5,6,8
5,7,5
6,7,4
7,8,3
7,14,5
8,14,6
8,15,7
8,16,4
8,9,2
9,15,4
9,16,5
9,24,3
10,11,2
10,17,4
11,17,5
11,12,6
12,17,3
12,13,1
12,60,3
12,52,5
13,52,4
14,53,3
14,15,4
15,16,2
15,18,5
16,18,3
16,24,4
16,30,5
18,30,3
18,53,4
19,20,5
19,27,3
20,21,4
20,27,5
20,35,6
20,28,3
21,22,2
21,23,4
21,28,3
21,29,6
22,23,1
23,29,2
24,25,3
24,30,2
24,32,3
25,26,4
25,32,3
25,33,4
26,27,5
26,33,6
26,34,3
26,35,2
27,35,3
28,29,5
29,37,4
30,31,2
30,32,6
31,32,3
31,38,5
31,39,2
31,57,6
32,33,2
32,39,5
32,40,6
33,34,2
33,34,3
33,40,2
33,41,2
34,35,4
34,41,2
34,42,3
34,43,6
35,36,6
35,43,5
36,37,2
36,43,2
36,44,3
37,44,3
37,45,6
38,39,2
38,83,2
38,84,2
38,85,4
39,40,3
39,85,3
40,41,2
40,85,3
40,86,4
41,42,4
41,46,3
41,86,2
41,99,5
42,43,5
42,46,3
42,47,5
43,44,3
43,47,6
44,45,3
44,47,4
44,48,5
45,48,3
46,47,3
46,49,5
46,50,4
46,99,3
47,48,6
47,50,6
48,50,6
48,104,2
49,50,4
49,51,5
49,99,3
49,102,2
50,51,5
50,104,1
51,102,3
51,103,5
51,104,2
52,54,5
52,60,6
54,55,6
54,60,6
54,81,5
55,56,3
55,81,6
56,82,6
56,57,6
58,59,3
58,61,4
58,72,6
59,60,3
59,61,3
59,62,3
60,62,3
60,63,4
60,81,3
61,62,5
61,64,4
61,133,6
61,141,6
62,63,4
62,64,3
63,81,3
63,87,2
64,87,4
64,133,3
64,134,2
65,66,6
66,67,6
66,68,6
67,68,6
67,69,6
68,69,6
68,71,6
68,72,6
69,70,6
69,71,6
70,71,6
71,72,6
71,73,3
73,76,6
73,142,6
74,75,6
74,77,6
74,78,6
75,76,6
75,78,6
76,78,6
76,79,6
76,80,6
76,142,6
76,153,6
